# Pathway	IN-B15-d94.sam.bam.filtered.sorted_merged_Abundance	IN-B16-d94.sam.bam.filtered.sorted_merged_Abundance	IN-B17-d94.sam.bam.filtered.sorted_merged_Abundance	IN-B18-d94.sam.bam.filtered.sorted_merged_Abundance	IN-B19-d94.sam.bam.filtered.sorted_merged_Abundance	IN-B22-d94.sam.bam.filtered.sorted_merged_Abundance	IN-B23-d94.sam.bam.filtered.sorted_merged_Abundance	IN-B24-d94.sam.bam.filtered.sorted_merged_Abundance	IN-B25-d94.sam.bam.filtered.sorted_merged_Abundance	IN-B27-d94.sam.bam.filtered.sorted_merged_Abundance	IN-B28-d94.sam.bam.filtered.sorted_merged_Abundance	IN-B29-d94.sam.bam.filtered.sorted_merged_Abundance	IN-B7-d94.sam.bam.filtered.sorted_merged_Abundance	N-B1-d94.sam.bam.filtered.sorted_merged_Abundance	N-B10-d94.sam.bam.filtered.sorted_merged_Abundance	N-B11-d94.sam.bam.filtered.sorted_merged_Abundance	N-B12-d94.sam.bam.filtered.sorted_merged_Abundance	N-B13-d94.sam.bam.filtered.sorted_merged_Abundance	N-B14-d94.sam.bam.filtered.sorted_merged_Abundance	N-B2-d94.sam.bam.filtered.sorted_merged_Abundance	N-B21-d94.sam.bam.filtered.sorted_merged_Abundance	N-B4-d94.sam.bam.filtered.sorted_merged_Abundance	N-B5-d94.sam.bam.filtered.sorted_merged_Abundance	N-B6-d94.sam.bam.filtered.sorted_merged_Abundance	N-B8-d94.sam.bam.filtered.sorted_merged_Abundance	N-B9-d94.sam.bam.filtered.sorted_merged_Abundance
PWY-5941: glycogen degradation II (eukaryotic)|unclassified	46.2566	47.6003	87.6254	15.5896	67.7363	88.9209	26.1448	47.4309	32.106	77.128	69.7868	45.5024	84.286	87.3562	19.9639	103.094	86.9724	110.693	48.3398	68.5123	48.2417	81.9606	78.3301	95.1076	90.8625	115.132
PWY-5971: palmitate biosynthesis II (bacteria and plants)	0	0	0	0	8.15215	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-5973: cis-vaccenate biosynthesis	207.48	131.179	238.081	52.7057	220.132	248.932	104.011	134.886	185.176	94.3011	186.094	116.207	178.271	131.651	135.82	245.471	215.068	175.338	83.5433	192.399	190.657	112.79	174.209	194.703	156.664	136.201
PWY-5973: cis-vaccenate biosynthesis|unclassified	155.668	360.684	502.235	158.465	287.952	595.13	366.49	345.799	406.952	231.89	264.911	266.003	303.101	607.769	336.364	675.762	909.181	407.11	239.407	616.412	1037.15	463.223	861.738	650.582	423.936	592.756
PWY-5989: stearate biosynthesis II (bacteria and plants)	8.17302	19.5109	8.21599	13.8993	6.0057	5.783	1.60544	0.280573	0	3.43938	12.0752	1.55063	2.74103	0	23.9268	0	0.819627	1.10552	1.40722	0	0	0	0.720495	3.76481	5.71523	0
PWY-5989: stearate biosynthesis II (bacteria and plants)|g__Escherichia.s__Escherichia_coli	8.40124	24.0867	11.829	0	0	3.80603	0	0.844518	0	1.31113	0	4.16636	3.01304	0	32.1451	0	0	1.02683	0	0	0	0	0	0	1.49397	0
PWY-5989: stearate biosynthesis II (bacteria and plants)|unclassified	0	0	0	50.5523	24.0642	19.391	0	0	0	15.2351	52.6905	0	0	0	0	0	0	0	0	0	0	0	0	0	14.7426	0
PWY-6113: superpathway of mycolate biosynthesis	0	0	0	0	4.98961	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-6121: 5-aminoimidazole ribonucleotide biosynthesis I	263.061	161.821	224.704	331.845	245.379	254.728	190.814	224.364	181.012	211.01	210.335	216.317	226.289	242.942	186.695	248.516	176.902	236.727	212.312	182.949	174.151	188.103	214.285	209.033	226.356	209.23
PWY-6121: 5-aminoimidazole ribonucleotide biosynthesis I|g__Anaerotruncus.s__Anaerotruncus_colihominis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.16282	0
PWY-6121: 5-aminoimidazole ribonucleotide biosynthesis I|g__Anaerotruncus.s__Anaerotruncus_sp_G3_2012	9.457	0.755252	1.69732	63.4783	14.3875	14.5561	4.71987	3.42161	10.9565	16.2981	10.8211	4.31467	19.3396	2.01929	0	5.10518	2.7417	10.1005	19.0567	0	0	0	13.8582	5.36876	15.2097	3.77107
PWY-6121: 5-aminoimidazole ribonucleotide biosynthesis I|g__Burkholderiales_noname.s__Burkholderiales_bacterium_1_1_47	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.27064	0	0	0	0	0	0	0	0	0
PWY-6121: 5-aminoimidazole ribonucleotide biosynthesis I|g__Clostridium.s__Clostridium_sp_ASF502	0	0	0	6.69005	0	0	0	0	0	0	11.6648	0	0	0	0	0	0	7.80209	7.38366	0	0	0	0	0	6.5733	0
PWY-6121: 5-aminoimidazole ribonucleotide biosynthesis I|g__Dorea.s__Dorea_sp_5_2	9.95574	0	0	0	0	0	0	0	0	2.19655	0	0	0	15.7384	0	0	0	0	1.99963	0	0	23.1268	17.4726	10.0056	1.98374	9.06615
PWY-6121: 5-aminoimidazole ribonucleotide biosynthesis I|g__Escherichia.s__Escherichia_coli	16.6052	34.1975	13.8335	0	0	1.86162	0	2.81809	0	2.09527	0	1.64999	8.95746	1.21586	49.473	1.37245	1.70501	1.05142	0	0	0	0	0	0	3.20197	0
PWY-6121: 5-aminoimidazole ribonucleotide biosynthesis I|g__Eubacterium.s__Eubacterium_plexicaudatum	0	0	0	0	54.1975	0	50.2797	0	0	13.4137	1.50095	0	0	0	0	0	0	0	79.155	0	0	0	0	0	0	0
PWY-6121: 5-aminoimidazole ribonucleotide biosynthesis I|g__Lactobacillus.s__Lactobacillus_murinus	1.64571	10.6965	5.40065	8.63472	59.8732	10.2292	6.52256	7.88462	11.0932	20.629	3.10872	8.0227	13.7852	50.9597	301.246	24.721	17.8034	23.0933	72.4072	110.998	24.9477	37.578	66.1318	89.5838	9.3388	21.7616
PWY-6121: 5-aminoimidazole ribonucleotide biosynthesis I|g__Lactobacillus.s__Lactobacillus_reuteri	0	20.2514	8.26227	9.23837	6.97469	70.3203	371.351	84.5954	197.177	159.143	26.8083	223.881	15.2442	0	0	26.7516	0	0	0	0	0	0	0	0	0	0
PWY-6121: 5-aminoimidazole ribonucleotide biosynthesis I|g__Oscillibacter.s__Oscillibacter_sp_1_3	0	0	0	0	4.61346	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16.2426	0	0	0	13.2315
PWY-6121: 5-aminoimidazole ribonucleotide biosynthesis I|g__Parasutterella.s__Parasutterella_excrementihominis	0	1.39638	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.67841	0	0	0	0	0	0	0	0	0
PWY-6121: 5-aminoimidazole ribonucleotide biosynthesis I|unclassified	478.727	678.5	820.823	1238.38	672.55	961.777	720.365	760.794	764.069	907.417	856.337	922.938	793.267	1215.41	412.059	923.65	737.048	861.129	644.495	716.023	989.853	1075.92	1197.95	965.395	810.472	997.223
PWY-6122: 5-aminoimidazole ribonucleotide biosynthesis II	267.545	183.907	242.609	478.489	257.46	273.252	215.396	236.634	196.446	251.548	264.215	236.316	276.627	283.375	214.157	258.711	259.786	277.613	292.251	215.658	223.082	235.758	223.687	227.856	295.804	225.249
PWY-6122: 5-aminoimidazole ribonucleotide biosynthesis II|g__Anaerotruncus.s__Anaerotruncus_colihominis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.724896	0	0	0	0	0	0.958317	0
PWY-6122: 5-aminoimidazole ribonucleotide biosynthesis II|g__Anaerotruncus.s__Anaerotruncus_sp_G3_2012	9.033	0.613143	1.61624	64.4961	13.4361	13.2253	4.85144	2.95241	10.2887	14.7741	10.8909	4.24353	19.3582	2.50033	0	4.77395	3.17348	9.49766	19.4789	0	0	2.83069	13.9897	5.15944	16.4875	3.33165
PWY-6122: 5-aminoimidazole ribonucleotide biosynthesis II|g__Burkholderiales_noname.s__Burkholderiales_bacterium_1_1_47	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.25425	0	0	0	0	0	0	0	0	0
PWY-6122: 5-aminoimidazole ribonucleotide biosynthesis II|g__Clostridium.s__Clostridium_sp_ASF356	0	0	0	7.28534	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-6122: 5-aminoimidazole ribonucleotide biosynthesis II|g__Clostridium.s__Clostridium_sp_ASF502	0	0	0	10.3243	0	0	0	0	0	0	15.6763	0	0	0	0	0	0	7.27916	7.54157	0	0	0	0	0	10.7689	0
PWY-6122: 5-aminoimidazole ribonucleotide biosynthesis II|g__Dorea.s__Dorea_sp_5_2	10.4198	0	0	0	0	0	0	0	0	1.86689	0	0	0	16.2825	0	0	0	0	6.30835	0	0	24.1061	17.822	10.2704	6.26317	9.55281
PWY-6122: 5-aminoimidazole ribonucleotide biosynthesis II|g__Enterorhabdus.s__Enterorhabdus_caecimuris	1.12776	0	3.3203	4.73922	7.55652	2.21891	5.95102	1.49924	7.42234	4.47702	6.24863	0	1.24752	3.2659	2.6765	11.3011	5.28799	2.81028	1.53401	5.90054	1.77954	0	12.2176	2.41633	2.85242	9.75211
PWY-6122: 5-aminoimidazole ribonucleotide biosynthesis II|g__Escherichia.s__Escherichia_coli	16.1052	32.1652	17.0841	1.40845	0	5.16064	4.34048	3.86046	0	2.02514	0.697496	1.37322	9.24062	1.07928	46.6724	1.28825	1.94399	1.10136	0	0	0	0	0	3.34222	3.097	0
PWY-6122: 5-aminoimidazole ribonucleotide biosynthesis II|g__Eubacterium.s__Eubacterium_plexicaudatum	0	0	0	0	60.4256	0	49.2426	0	0	13.3411	1.36547	0	0	0	0	0	0	0	78.0943	0	0	0	0	0	0	0
PWY-6122: 5-aminoimidazole ribonucleotide biosynthesis II|g__Lactobacillus.s__Lactobacillus_murinus	2.96167	9.54652	6.18055	7.91801	59.2918	9.74376	8.61205	8.86039	11.4454	20.2762	4.52783	7.47834	14.9088	48.4135	318.191	23.5726	16.789	22.0631	73.2437	109.161	30.7125	45.9507	66.6768	91.5979	15.5538	24.2912
PWY-6122: 5-aminoimidazole ribonucleotide biosynthesis II|g__Lactobacillus.s__Lactobacillus_reuteri	0	21.0336	8.08938	9.52821	8.57545	69.118	375.318	93.8881	206.187	158.879	29.7723	236.436	14.9816	0	0	32.3954	0	0	0	0	0	0	0	0	0	0
PWY-6122: 5-aminoimidazole ribonucleotide biosynthesis II|g__Mucispirillum.s__Mucispirillum_schaedleri	10.5695	8.32887	4.45405	66.706	4.10274	7.38784	0	35.2613	2.12056	1.12589	1.17171	5.85729	33.5866	66.2675	0	0	5.11571	5.25955	47.0431	0	0	4.47699	0	0	4.37274	7.20335
PWY-6122: 5-aminoimidazole ribonucleotide biosynthesis II|g__Oscillibacter.s__Oscillibacter_sp_1_3	0	0	0	0	4.78269	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14.956	0	0	0	18.4497
PWY-6122: 5-aminoimidazole ribonucleotide biosynthesis II|g__Parasutterella.s__Parasutterella_excrementihominis	0	1.31431	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.53487	0	0	0	0	0	0	0	0	0
PWY-6122: 5-aminoimidazole ribonucleotide biosynthesis II|g__Pasteurella.s__Pasteurella_pneumotropica	0	0	0	0	0.537334	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-6122: 5-aminoimidazole ribonucleotide biosynthesis II|unclassified	618.493	721.303	917.481	1796.09	731.951	1096.61	940.29	804.213	816.548	1195.33	913.293	1054.73	1089.44	1346.85	445.797	1053.33	1068.54	1024.87	1005.62	883.961	1149.96	1275.06	1260.68	1011.79	1075.83	1130.47
PWY-6123: inosine-5'-phosphate biosynthesis I	80.9184	98.9253	181.641	46.0856	161.618	110.871	133.66	79.2058	165.204	118.841	130.372	111.042	139.21	82.6349	79.9127	78.3692	130.229	99.1441	48.6425	124.509	101.485	62.0907	67.9132	93.4346	93.3655	67.8448
PWY-6123: inosine-5'-phosphate biosynthesis I|g__Bacteroides.s__Bacteroides_thetaiotaomicron	0	0	0	9.31887	1.73898	6.45213	6.38789	0	0	4.85741	5.00472	2.41224	0	19.2673	0	0	0	0	0	8.02673	3.21681	3.023	9.64666	4.52236	0	0
PWY-6123: inosine-5'-phosphate biosynthesis I|g__Bacteroides.s__Bacteroides_xylanisolvens	56.9027	100.28	329.123	1.72232	270.697	119.334	95.4079	0	357.681	135.283	190.938	72.1787	258.589	0	0	0	0	0	0	196.214	19.1219	62.9285	35.3717	97.0228	0	0
PWY-6123: inosine-5'-phosphate biosynthesis I|g__Escherichia.s__Escherichia_coli	15.8259	37.1136	16.2493	1.47968	0	3.91987	2.94135	3.36464	0	3.97829	0	3.93329	6.18246	0	44.8095	0	0	2.75318	0	0	0	0	0	2.25953	2.2641	0
PWY-6123: inosine-5'-phosphate biosynthesis I|g__Lactobacillus.s__Lactobacillus_reuteri	0	22.6718	6.8076	11.621	7.28986	68.3998	336.694	81.0309	169.812	144.206	30.2865	216.38	16.735	0	0	21.6259	0	0	0	0	0	0	0	0	0	0
PWY-6123: inosine-5'-phosphate biosynthesis I|unclassified	121.237	241.657	250.845	142.381	167.303	194.813	222.447	227.608	263.349	237.051	209.654	205.842	159.265	425.956	208.881	348.398	580.709	413.593	214.344	331.655	608.109	245.599	320.911	315.468	372.964	365.993
PWY-6124: inosine-5'-phosphate biosynthesis II	70.0214	88.9335	167.352	39.3284	147.85	98.0622	128.666	70.115	157.553	108.693	117.588	102.484	125.597	72.036	60.3079	68.4093	120.037	87.9376	41.7523	114.626	91.0316	54.1666	59.6159	83.6056	82.0169	59.925
PWY-6124: inosine-5'-phosphate biosynthesis II|g__Bacteroides.s__Bacteroides_thetaiotaomicron	0	0	0	8.19571	1.47191	5.83401	6.06347	0	0	4.28525	4.35749	2.55173	0	17.2158	0	0	0	0	0	7.21501	3.2874	2.85189	11.0672	4.66073	0	0
PWY-6124: inosine-5'-phosphate biosynthesis II|g__Bacteroides.s__Bacteroides_xylanisolvens	52.349	95.2875	306.073	1.53795	257.89	109.891	92.0083	0	333.719	123.047	180.21	70.657	241.635	0	0	0	0	0	0	185.152	17.8626	62.7844	41.2197	91.9379	0	0
PWY-6124: inosine-5'-phosphate biosynthesis II|g__Escherichia.s__Escherichia_coli	15.2852	34.5286	21.9608	1.28578	0	3.77572	4.44008	3.79387	0	3.62248	0	3.95	5.56487	0	46.8439	1.2698	0.328484	2.64558	0	0	0	0	0	3.29915	3.45726	0
PWY-6124: inosine-5'-phosphate biosynthesis II|g__Lactobacillus.s__Lactobacillus_reuteri	0	15.6937	6.91883	11.2631	3.36877	71.4935	341.049	78.7209	163.047	145.533	29.237	210.474	13.3511	0	0	22.2661	0	0	0	0	0	0	0	0	0	0
PWY-6124: inosine-5'-phosphate biosynthesis II|unclassified	106.39	218.367	223.036	121.037	148.928	168.202	200.902	204.555	242.564	207.527	183.758	181.816	137.036	373.903	200.42	310.903	543.893	375.069	185.987	305.191	552.181	212.736	281.583	283.17	333.051	328.08
PWY-6125: superpathway of guanosine nucleotides de novo biosynthesis II	140.759	111.953	85.9518	87.7062	62.0422	66.0711	111.795	123.669	96.4494	67.5639	57.6365	76.7566	110.771	110.261	68.3431	69.1081	131.348	80.896	82.4554	89.1242	63.3081	65.3804	35.907	40.27	71.0922	71.2537
PWY-6125: superpathway of guanosine nucleotides de novo biosynthesis II|g__Bacteroides.s__Bacteroides_vulgatus	167.177	123.076	39.4709	1.47686	16.4155	2.44893	0	85.0105	0	0	20.0629	0	24.9676	24.4852	5.03318	0	15.688	2.41652	30.6439	46.4803	28.9396	5.94482	0	8.6967	18.2164	30.9529
PWY-6125: superpathway of guanosine nucleotides de novo biosynthesis II|g__Burkholderiales_noname.s__Burkholderiales_bacterium_1_1_47	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.36468	0	0	0	0	0	0	0	0	0
PWY-6125: superpathway of guanosine nucleotides de novo biosynthesis II|g__Escherichia.s__Escherichia_coli	14.8489	35.5392	13.4372	0	0	2.51689	2.32269	2.17938	0	2.70341	0	0	4.58866	0	40.6565	2.21386	0	1.49855	0.703931	0	0	0	0	0	0	0
PWY-6125: superpathway of guanosine nucleotides de novo biosynthesis II|g__Lactobacillus.s__Lactobacillus_reuteri	0	22.2595	6.61991	7.15766	6.48233	74.2121	367.245	76.9448	197.731	163.929	29.6696	232.292	14.9491	0	0	25.4104	0	0	0	0	0	0	0	0	0	0
PWY-6125: superpathway of guanosine nucleotides de novo biosynthesis II|g__Parasutterella.s__Parasutterella_excrementihominis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.15111	0	0	0	0	0	0	0	0	0
PWY-6125: superpathway of guanosine nucleotides de novo biosynthesis II|unclassified	74.9443	138.807	121.907	259.74	78.1631	134.085	151.637	168.166	187.166	32.6794	53.5756	73.9828	317.204	281.949	175.563	197.656	445.442	259.922	211.025	265.895	228.879	240.049	126.472	140.354	176.747	232.786
PWY-6126: superpathway of adenosine nucleotides de novo biosynthesis II	171.561	138.821	135.109	103.439	111.58	163.499	141.704	150.949	161.365	127.198	116.112	117.933	145.411	143.253	95.4577	128.008	177.067	106.593	100.323	120.588	140.232	94.2362	104.225	104.833	102.765	101.379
PWY-6126: superpathway of adenosine nucleotides de novo biosynthesis II|g__Bacteroides.s__Bacteroides_vulgatus	178.959	136.063	40.9744	1.93726	17.6418	3.1766	0	98.3322	0	0	22.0484	0	29.8829	23.2156	6.50521	0	17.2294	3.49377	30.2489	65.8022	34.2051	12.5489	0	9.78696	24.0787	37.7812
PWY-6126: superpathway of adenosine nucleotides de novo biosynthesis II|g__Escherichia.s__Escherichia_coli	11.2208	41.1194	13.3808	0	0	2.99502	0	2.90981	0	3.51928	0	3.08672	3.33559	0	39.4836	1.25198	0	1.84768	0	0	0	0	0	0	0	0
PWY-6126: superpathway of adenosine nucleotides de novo biosynthesis II|g__Lactobacillus.s__Lactobacillus_reuteri	0	25.5453	6.32848	8.91618	6.52293	69.1045	402.842	88.396	208.112	173.722	30.5135	250.144	14.9831	0	0	20.7541	0	0	0	0	0	0	0	0	0	0
PWY-6126: superpathway of adenosine nucleotides de novo biosynthesis II|unclassified	236.126	393.474	446.05	348.346	349.133	607.736	409.467	324.362	504.15	375.063	400.698	371.994	524.301	667.832	283.04	557.108	736.4	403.339	301.938	534.085	867.381	559.939	654.059	520.807	358.204	486.2
PWY-6147: 6-hydroxymethyl-dihydropterin diphosphate biosynthesis I	8.6395	20.7877	18.2079	6.72888	1.91736	21.1371	60.9357	31.8472	38.1616	31.1903	15.6778	45.5467	11.9432	0	25.4371	8.45642	0.989629	5.06705	0	0	0	0	0	0	3.1255	0.875291
PWY-6147: 6-hydroxymethyl-dihydropterin diphosphate biosynthesis I|g__Escherichia.s__Escherichia_coli	12.121	39.2516	26.1008	0	0	9.25635	1.94637	0	0	0	0	0	8.2014	0	61.7919	2.06279	0	2.99596	0	0	0	0	0	0	6.16509	0
PWY-6147: 6-hydroxymethyl-dihydropterin diphosphate biosynthesis I|g__Lactobacillus.s__Lactobacillus_reuteri	0	18.5149	2.82639	12.8226	3.97928	51.0804	286.547	56.0457	136.11	126.559	23.7871	162.471	14.1459	0	0	21.1562	0	0	0	0	0	0	0	0	0	0
PWY-6147: 6-hydroxymethyl-dihydropterin diphosphate biosynthesis I|unclassified	0	0	0	0	0	0	35.7144	0	15.3564	5.04546	0	8.84137	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-6151: S-adenosyl-L-methionine cycle I	264.178	111.231	149.818	270.666	159.015	182.197	135.406	151.787	103.173	140.863	175.27	155.777	157.69	77.8878	114.289	175.844	61.7396	153.135	146.812	65.8346	59.9852	77.8349	104.861	104.654	152.79	105.395
PWY-6151: S-adenosyl-L-methionine cycle I|g__Anaerotruncus.s__Anaerotruncus_colihominis	0	0	0	2.22977	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-6151: S-adenosyl-L-methionine cycle I|g__Anaerotruncus.s__Anaerotruncus_sp_G3_2012	8.40875	1.415	0.771757	78.0785	20.3507	20.147	12.2902	6.03284	18.2569	20.0981	26.0305	3.53263	40.6989	3.13619	0	4.51397	2.92548	13.4085	16.142	0	0	0	13.0102	9.03244	16.2085	9.91641
PWY-6151: S-adenosyl-L-methionine cycle I|g__Bacteroides.s__Bacteroides_uniformis	349.194	47.3884	123.136	3.84992	159.764	424.573	48.187	169.506	76.9918	11.2653	216.769	202.396	89.7557	14.363	205.119	528.714	42.7242	228.015	68.1351	96.0749	99.2139	55.246	180.895	193.587	235.967	107.588
PWY-6151: S-adenosyl-L-methionine cycle I|g__Bacteroides.s__Bacteroides_vulgatus	180.977	131.586	54.8793	0.552861	17.3319	8.64184	0	89.9165	2.05353	2.8287	31.946	0	23.9424	28.4587	5.16952	0	17.6193	5.19638	29.9704	83.1261	45.8025	3.80773	0	8.81991	22.6094	24.5876
PWY-6151: S-adenosyl-L-methionine cycle I|g__Clostridium.s__Clostridium_sp_ASF356	0	0	0	4.69405	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-6151: S-adenosyl-L-methionine cycle I|g__Dorea.s__Dorea_sp_5_2	4.51435	0	0	0	0	0	0	0	0	2.94778	0	0	0	17.1188	0	0	0	0	2.36776	0	0	22.9498	11.8053	0	0	4.7833
PWY-6151: S-adenosyl-L-methionine cycle I|g__Enterococcus.s__Enterococcus_gallinarum	0	0	0	0	0.579616	0	0	0	0	0	0	0	0	0	1.33782	0	0	0	0	0	0	0	0	0	0	0
PWY-6151: S-adenosyl-L-methionine cycle I|g__Escherichia.s__Escherichia_coli	16.6683	29.9821	15.217	1.62789	0	2.92354	0	0.389245	0	5.20181	0	4.66175	3.77317	0	37.3295	0	0	2.69108	0	0	0	0	0	2.93437	1.90774	1.12398
PWY-6151: S-adenosyl-L-methionine cycle I|g__Eubacterium.s__Eubacterium_plexicaudatum	0	0	0	0	44.4887	0	61.1493	0	0	6.07628	0	0	0	0	0	0	0	0	70.0909	0	0	0	0	0	0	0
PWY-6151: S-adenosyl-L-methionine cycle I|g__Lactobacillus.s__Lactobacillus_reuteri	0	15.9413	0	9.76631	4.81682	51.3067	296.143	68.1277	137.399	136.438	20.7056	197.423	14.4758	0	0	26.3632	0	0	0	0	0	0	0	0	0	0
PWY-6151: S-adenosyl-L-methionine cycle I|g__Oscillibacter.s__Oscillibacter_sp_1_3	0	0	0	0	1.97735	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23.4545	0	0	0	21.2599
PWY-6151: S-adenosyl-L-methionine cycle I|unclassified	206.291	235.326	408.871	941.94	304.432	233.285	285.029	272.395	252.442	521.063	378.118	391.717	441.243	310.153	129.491	250.851	178.55	353.082	331.327	123.77	174.437	246.421	333.576	283.445	310.879	350.707
PWY-6163: chorismate biosynthesis from 3-dehydroquinate	72.7668	44.0919	54.1456	145.886	91.1285	30.5056	41.2159	62.2704	23.1041	51.1482	48.6596	41.0637	78.2135	54.6402	46.0158	26.3977	27.4437	57.784	84.4255	18.075	3.67043	47.4931	33.1736	40.3791	58.9086	30.8854
PWY-6163: chorismate biosynthesis from 3-dehydroquinate|g__Anaerotruncus.s__Anaerotruncus_sp_G3_2012	10.6405	2.76922	0	81.2295	19.3433	14.3941	10.6968	5.17818	19.519	18.2528	20.6782	0	25.3073	3.68753	0	8.09847	4.12648	8.68218	22.8284	0	0	0	34.5709	4.88291	13.2276	0
PWY-6163: chorismate biosynthesis from 3-dehydroquinate|g__Clostridium.s__Clostridium_sp_ASF502	0	0	0	1.07622	0	0	0	0	0	0	4.62823	0	0	0	0	0	0	3.52851	0	0	0	0	0	0	4.78599	0
PWY-6163: chorismate biosynthesis from 3-dehydroquinate|g__Escherichia.s__Escherichia_coli	17.4627	35.1364	15.8797	0	0	3.11555	0	0	0	1.28415	0	3.26956	6.55852	0	49.7466	0	0.991161	1.41397	0	0	0	0	0	4.23343	3.94908	2.03085
PWY-6163: chorismate biosynthesis from 3-dehydroquinate|g__Eubacterium.s__Eubacterium_plexicaudatum	0	0	0	0	59.7272	0	60.8864	0	0	12.0485	0	0	0	0	0	0	0	0	63.9147	0	0	0	0	0	0	0
PWY-6163: chorismate biosynthesis from 3-dehydroquinate|g__Mucispirillum.s__Mucispirillum_schaedleri	4.3712	4.45845	0	25.8298	0	0	0	15.7755	0	0	0	0	16.8023	29.4088	0	0	2.39112	1.40706	18.4798	0	0	0	0	0	0	0
PWY-6163: chorismate biosynthesis from 3-dehydroquinate|unclassified	49.8626	40.819	151.283	410.77	167.071	41.9051	66.9101	80.5824	30.175	197.697	91.5305	148.062	160.538	107.664	51.1123	72.7888	55.3524	146.601	117.083	84.022	10.7718	168.478	83.5275	136.555	137.651	69.5998
PWY-6168: flavin biosynthesis III (fungi)	73.6939	58.472	106.384	68.0548	95.513	102.669	51.3861	53.0118	78.0689	52.4944	88.4085	49.4902	67.2192	29.2306	45.1854	83.7053	74.1297	66.4958	15.2752	60.4465	33.3467	33.1799	35.8945	37.9229	53.1492	41.2898
PWY-6168: flavin biosynthesis III (fungi)|g__Bacteroides.s__Bacteroides_thetaiotaomicron	0	0	0	12.7462	0.837598	2.51895	0	0	0	0	0	0	0	4.34752	0	0	0	0	0	0	0	0	12.1847	1.80965	0	0
PWY-6168: flavin biosynthesis III (fungi)|g__Escherichia.s__Escherichia_coli	19.2564	40.4401	20.8707	0	0	3.54952	0	2.09616	0	0	0	0	0	0	55.217	0	0	0	0	0	0	0	0	2.80146	3.40703	0
PWY-6168: flavin biosynthesis III (fungi)|unclassified	115.584	132.023	226.644	176.635	189.633	242.055	127.992	155.302	260.564	154.116	221.62	170.472	188.753	106.69	76.9987	233.336	285.92	246.685	60.4708	201.3	65.4542	112.18	123.853	133.794	184.107	168.589
PWY-621: sucrose degradation III (sucrose invertase)	11.2275	13.5045	8.47696	2.5454	1.91423	1.56337	2.80359	1.56487	0	0	0.629743	1.81305	2.68998	0.280858	25.8695	2.56154	0.380755	1.28794	0	1.38399	2.80523	3.28702	0	2.91095	0.559204	0
PWY-621: sucrose degradation III (sucrose invertase)|g__Escherichia.s__Escherichia_coli	11.9909	39.8846	16.1425	1.80574	0	3.01914	3.52614	3.8779	0	0	2.22387	2.11421	5.13259	1.13798	58.181	1.65409	1.08836	1.49982	0	0	0	0	0	6.22289	1.22024	0
PWY-621: sucrose degradation III (sucrose invertase)|unclassified	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.35604	0	0	0	0	0	0	0	0	0	0
PWY-6270: isoprene biosynthesis I	39.798	59.5856	51.6329	20.9675	64.1392	72.3754	65.3174	79.1497	72.8387	73.2936	53.3433	80.1047	36.4822	37.8882	86.0032	29.4111	16.4501	35.6269	67.7084	55.415	13.3802	24.8664	35.854	46.6603	29.908	18.0476
PWY-6270: isoprene biosynthesis I|unclassified	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14.2689	0	0	0	0	0	0	0	0	0	0
PWY-6277: superpathway of 5-aminoimidazole ribonucleotide biosynthesis	267.545	183.907	242.609	478.489	257.46	273.252	215.396	236.634	196.446	251.548	264.215	236.316	276.627	283.375	214.157	258.711	259.786	277.613	292.251	215.658	223.082	235.758	223.687	227.856	295.804	225.249
PWY-6277: superpathway of 5-aminoimidazole ribonucleotide biosynthesis|g__Anaerotruncus.s__Anaerotruncus_colihominis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.724896	0	0	0	0	0	0.958317	0
